rate	title	country	rating_sum	year
6.1	铁罗汉	香港	66.0	1970
6.3	走上不归路	香港	66.0	1993
6.5	生死牌	香港	66.0	1961
6.4	元洲街王后	香港	66.0	1995
4.8	僵尸怕怕	香港	66.0	1986
6.6	先生贵姓	香港	67.0	1984
5.3	阿牛发达记	香港	67.0	1976
2.4	福星特攻队	香港	67.0	2017
5.0	北京之夏	香港	67.0	2012
6.5	单程路	香港	67.0	1981
5.5	包公审琵琶	香港	67.0	1975
8.0	梁山伯与祝英台	香港	67.0	1964
5.8	泰山屠龙	香港	67.0	1980
7.4	黑玫瑰	香港	67.0	1965
5.5	警网双雄	香港	68.0	1978
5.6	济公三斗吕洞宾	香港	68.0	1978
5.8	无名家族	香港	68.0	1990
5.6	慌失失	香港	68.0	1979
4.9	铁掌旋风腿	香港	68.0	1972
5.5	青春恋	香港	69.0	1970
7.5	冥约	香港	69.0	2002
7.6	岁月情真	香港	69.0	1995
5.9	奸人世家	香港	69.0	1994
7.5	寒夜	香港	69.0	1955
4.4	舢舨92之爱的出航	香港	69.0	1992
3.8	金枝玉叶之睡在下流社会的日子	香港	69.0	1999
6.5	船	香港	69.0	1967
8.0	疯狂上海滩	香港	69.0	1985
4.9	顶天立地	香港	69.0	1973
5.0	黑鹰	香港	70.0	1967
5.6	日落卡门	香港	70.0	1993
6.4	血中血	香港	70.0	1983
5.7	目中无人	香港	70.0	1989
6.1	完全失控	香港	70.0	1997
7.0	天官赐福	香港	70.0	1987
5.3	七省拳王	香港	70.0	1974
8.2	这三年间	香港	70.0	2011
5.8	夕阳恋人	香港	70.0	1971
5.8	山东响马	香港	70.0	1972
5.4	我的麻烦老友	香港	71.0	2003
4.5	麻疯怪拳	香港	71.0	1979
7.0	敌对	香港	71.0	2001
5.8	乌龙大家庭	香港	71.0	1986
5.8	95陀枪女警	香港	71.0	1995
6.6	某年某月某日	香港	71.0	2003
5.9	香港奇案之八大毒枭	香港	71.0	1992
5.7	迷人漩涡	香港	71.0	1969
4.4	青春梦里人	香港	71.0	1994
5.5	狐鬼嬉春	香港	71.0	1971
5.0	龙虎家族	香港	71.0	1989
3.9	愈穷愈见鬼	香港	72.0	2004
7.6	Eleven to Seven	香港	72.0	2011
5.8	正红旗下	香港	72.0	1991
5.4	惊梦魂	香港	72.0	1995
6.9	都会交响曲	香港	72.0	1954
5.6	平安夜	香港	72.0	1985
5.5	鬼马神偷	香港	72.0	1982
4.6	猛鬼咒	香港	72.0	1988
5.1	血洗唐人街	香港	72.0	1982
7.3	雷雨	香港	73.0	1957
5.7	虎穴屠龙之轰天陷阱	香港	73.0	1994
6.5	人尽可夫女王蜂	香港	73.0	1973
4.3	羔羊大律师	香港	74.0	1992
6.4	虎辫子	香港	74.0	1974
4.0	手机凶灵	香港	74.0	2000
5.4	千火玫瑰	香港	75.0	1993
5.9	通天拍档	香港	75.0	1988
7.6	小说家族之对倒	香港	75.0	1987
7.0	玉女私情	香港	75.0	1959
6.4	少女心	香港	75.0	1989
